point, dist
5734.000000,0.232182 
5637.000000,0.151006 
5616.000000,0.156576 
6330.000000,0.095664 
6342.000000,0.153150 
6322.000000,0.189047 
3448.000000,0.191481 
4629.000000,0.072431 
4665.000000,0.034133 
3411.000000,0.182516 
5156.000000,0.174686 
5158.000000,0.107281 
3131.000000,0.296584 
3140.000000,0.034125 
7572.000000,0.130916 
7573.000000,0.142874 
7529.000000,0.148384 
7198.000000,0.150149 
7599.000000,0.146914 
7621.000000,0.153325 
6796.000000,0.211923 
2199.000000,0.034422 
2197.000000,0.083273 
9129.000000,0.135714 
9086.000000,0.161202 
9130.000000,0.146246 
5799.000000,0.147036 
5796.000000,0.154615 
5793.000000,0.164930 
5827.000000,0.131512 
5620.000000,0.153317 
5877.000000,0.126152 
6290.000000,0.141143 
5893.000000,0.121530 
3509.000000,0.173390 
3522.000000,0.174304 
3544.000000,0.173470 
1293.000000,0.305668 
1098.000000,0.302992 
1128.000000,0.294971 
5759.000000,0.208714 
3128.000000,0.289277 
5527.000000,0.201014 
3114.000000,0.051688 
6835.000000,0.225003 
2027.000000,0.048939 
1883.000000,0.125218 
6842.000000,0.212547 
6426.000000,0.220344 
6420.000000,0.229563 
2903.000000,0.019747 
3077.000000,0.074089 
1181.000000,0.328047 
1187.000000,0.332477 
1903.000000,0.059856 
9408.000000,0.170357 
9681.000000,0.186902 
9664.000000,0.170170 
5888.000000,0.162480 
5861.000000,0.134874 
5944.000000,0.160363 
5998.000000,0.235898 
5843.000000,0.159981 
6362.000000,0.205454 
5969.000000,0.239116 
6005.000000,0.211656 
5995.000000,0.208017 
5951.000000,0.148985 
9819.000000,0.192736 
9803.000000,0.096849 
9801.000000,0.099071 
7559.000000,0.150787 
7547.000000,0.156993 
7311.000000,0.187267 
7326.000000,0.179195 
6926.000000,0.182960 
6932.000000,0.174157 
5243.000000,0.210873 
9548.000000,0.140388 
9419.000000,0.211794 
9456.000000,0.189599 
9975.000000,0.248021 
9981.000000,0.184939 
9700.000000,0.193610 
9580.000000,0.166266 
3179.000000,0.078548 
3240.000000,0.304852 
3174.000000,0.034954 
5467.000000,0.154425 
4868.000000,0.137851 
3652.000000,0.234351 
3247.000000,0.096061 
3267.000000,0.042654 
3627.000000,0.186069 
3207.000000,0.028421 
3204.000000,0.094183 
5726.000000,0.220317 
5809.000000,0.171327 
2704.000000,0.095681 
2713.000000,0.086344 
2655.000000,0.108778 
2676.000000,0.032633 
7656.000000,0.144764 
7667.000000,0.138670 
7657.000000,0.129250 
9790.000000,0.149595 
9776.000000,0.174362 
9782.000000,0.144374 
9789.000000,0.125806 
7096.000000,0.193731 
6936.000000,0.167366 
6332.000000,0.115573 
9829.000000,0.171785 
9848.000000,0.152776 
8364.000000,0.189216 
8360.000000,0.155338 
8361.000000,0.140763 
3566.000000,0.185219 
3580.000000,0.208354 
6807.000000,0.120338 
5401.000000,0.175933 
3740.000000,0.068292 
3594.000000,0.102210 
5422.000000,0.198592 
2127.000000,0.290791 
5342.000000,0.173641 
5366.000000,0.158155 
3725.000000,0.102455 
5371.000000,0.210883 
3712.000000,0.110932 
9101.000000,0.189230 
3900.000000,0.100037 
3678.000000,0.074878 
3697.000000,0.112398 
5802.000000,0.116765 
6965.000000,0.187102 
7068.000000,0.179294 
7070.000000,0.188579 
7806.000000,0.200346 
7649.000000,0.155557 
4275.000000,0.099092 
5171.000000,0.206244 
4319.000000,0.114231 
3231.000000,0.107212 
3181.000000,0.110098 
6393.000000,0.218070 
6396.000000,0.051207 
2997.000000,0.040978 
5472.000000,0.169593 
3498.000000,0.206154 
5489.000000,0.190446 
5522.000000,0.181956 
3505.000000,0.203878 
3148.000000,0.319992 
3086.000000,0.042651 
3074.000000,0.060121 
5525.000000,0.235993 
1918.000000,0.063334 
1930.000000,0.089250 
1917.000000,0.103985 
1966.000000,0.084055 
2002.000000,0.084581 
3051.000000,0.100282 
3098.000000,0.035055 
3084.000000,0.017541 
8781.000000,0.184508 
8790.000000,0.164803 
8735.000000,0.168343 
2027.000000,0.280229 
2041.000000,0.043962 
2041.000000,0.275761 
8943.000000,0.169819 
8866.000000,0.210325 
8873.000000,0.188632 
1888.000000,0.100864 
1860.000000,0.084881 
1364.000000,0.346123 
1875.000000,0.286144 
1877.000000,0.281940 
9451.000000,0.201417 
1221.000000,0.334628 
9492.000000,0.169576 
9611.000000,0.151633 
5199.000000,0.206695 
5215.000000,0.165766 
5214.000000,0.163224 
5228.000000,0.208201 
9479.000000,0.169237 
5286.000000,0.175027 
8503.000000,0.172138 
9904.000000,0.137575 
9128.000000,0.144386 
