point, dist
9781.000000,0.244114 
9764.000000,0.207414 
9754.000000,0.306519 
9751.000000,0.334258 
5496.000000,0.149058 
77.000000,0.349342 
5873.000000,0.125715 
9614.000000,0.338528 
9558.000000,0.256566 
9619.000000,0.210458 
5873.000000,0.308543 
9845.000000,0.108797 
9875.000000,0.249288 
9834.000000,0.253465 
9408.000000,0.281464 
4538.000000,0.236321 
9413.000000,0.326028 
9447.000000,0.293869 
4574.000000,0.176804 
5698.000000,0.243875 
5368.000000,0.126478 
5605.000000,0.289461 
8330.000000,0.259648 
8341.000000,0.272616 
8356.000000,0.282908 
8502.000000,0.270043 
8472.000000,0.261535 
6534.000000,0.134633 
6379.000000,0.464817 
6121.000000,0.211636 
6379.000000,0.206992 
7711.000000,0.398574 
6121.000000,0.386022 
8524.000000,0.234864 
436.000000,0.379112 
104.000000,0.336259 
3527.000000,0.448863 
3527.000000,0.168137 
3519.000000,0.145628 
5584.000000,1.411579 
5730.000000,1.412542 
3554.000000,1.416647 
2744.000000,1.416034 
3199.000000,0.252992 
3110.000000,0.228773 
3013.000000,0.147010 
3000.000000,0.238002 
3091.000000,0.465230 
2734.000000,0.465150 
3091.000000,0.207919 
3347.000000,0.173354 
3411.000000,1.407563 
3502.000000,0.289599 
3502.000000,0.507025 
3380.000000,0.433637 
3380.000000,0.121792 
9823.000000,0.278834 
9799.000000,0.200117 
2734.000000,0.207742 
3284.000000,0.252911 
3013.000000,0.441385 
2891.000000,0.143284 
5308.000000,0.359656 
5656.000000,0.365885 
5335.000000,0.408807 
9364.000000,0.356174 
4434.000000,0.245426 
3909.000000,0.185217 
9845.000000,0.197752 
9841.000000,0.216099 
9840.000000,0.286159 
9852.000000,0.217305 
9835.000000,0.263177 
561.000000,0.402533 
6598.000000,0.129533 
8073.000000,0.178138 
8031.000000,0.337479 
7962.000000,0.318568 
5038.000000,0.047242 
5038.000000,0.164588 
4902.000000,0.204602 
5823.000000,0.137911 
5024.000000,0.130338 
