point, dist
4342.000000,0.302868 
910.000000,0.260523 
4350.000000,0.383248 
4355.000000,0.288939 
6300.000000,0.307574 
4935.000000,0.204526 
6416.000000,0.400403 
803.000000,0.416266 
4441.000000,0.301954 
4441.000000,0.303565 
4393.000000,0.267907 
4435.000000,0.344963 
4441.000000,0.345332 
4452.000000,0.266128 
4461.000000,0.330628 
4486.000000,0.282417 
4410.000000,0.361910 
3147.000000,0.333147 
3147.000000,0.141732 
1848.000000,0.272006 
3049.000000,0.355003 
3029.000000,0.305831 
1757.000000,0.280237 
6268.000000,0.445248 
4910.000000,0.275636 
4980.000000,0.300869 
6268.000000,0.327503 
5107.000000,0.080705 
2267.000000,0.168414 
2275.000000,0.040359 
4565.000000,0.100602 
2274.000000,0.266290 
4768.000000,0.433893 
2251.000000,0.091040 
8744.000000,0.160187 
8757.000000,0.224647 
2991.000000,0.286884 
2991.000000,0.061816 
2798.000000,0.274486 
5146.000000,0.535075 
4963.000000,0.485280 
4896.000000,0.169217 
6326.000000,0.365865 
6357.000000,0.308174 
2440.000000,0.442966 
2991.000000,0.370226 
2798.000000,0.380188 
4413.000000,0.372668 
4411.000000,0.341579 
799.000000,0.322433 
4446.000000,0.323759 
9713.000000,0.499096 
9717.000000,0.012345 
9708.000000,0.291487 
9708.000000,0.464300 
9695.000000,0.439734 
9695.000000,0.248394 
9690.000000,0.067524 
9228.000000,0.133707 
5043.000000,0.181014 
4970.000000,0.227866 
4970.000000,0.262915 
6299.000000,0.351921 
6299.000000,0.331644 
4735.000000,0.178697 
4735.000000,0.243920 
3044.000000,0.282023 
1859.000000,0.382011 
3029.000000,0.414023 
6271.000000,0.221852 
6289.000000,0.395555 
4673.000000,0.370819 
2253.000000,0.210568 
1249.000000,0.228019 
4752.000000,0.372683 
1252.000000,0.296750 
2254.000000,0.285483 
1252.000000,0.188218 
2243.000000,0.258202 
4397.000000,0.435934 
4398.000000,0.105561 
797.000000,0.205214 
4555.000000,0.229308 
4399.000000,0.366380 
7463.000000,0.309230 
7534.000000,0.055662 
2881.000000,0.118631 
7463.000000,0.476747 
6355.000000,0.380192 
6357.000000,0.365673 
6329.000000,0.399704 
6325.000000,0.226241 
5054.000000,0.112596 
4904.000000,0.149770 
2960.000000,0.273969 
7540.000000,0.124161 
2962.000000,0.111306 
2920.000000,0.194453 
2735.000000,0.313335 
7542.000000,0.070634 
3945.000000,0.764474 
9237.000000,0.883327 
9192.000000,0.483309 
3963.000000,0.858261 
3857.000000,0.945857 
3833.000000,0.970760 
3866.000000,0.999872 
9204.000000,0.292094 
9204.000000,0.540959 
9222.000000,0.183589 
9265.000000,0.205606 
2488.000000,0.366021 
2326.000000,0.049238 
2415.000000,0.266097 
2937.000000,0.238867 
2937.000000,0.360930 
55.000000,0.373468 
1167.000000,0.007504 
1156.000000,0.492804 
4150.000000,0.506027 
4117.000000,0.506067 
4139.000000,0.539617 
4423.000000,0.332832 
4423.000000,0.171946 
4396.000000,0.383090 
4396.000000,0.360212 
4351.000000,0.256288 
4369.000000,0.411075 
4276.000000,0.420399 
4203.000000,0.360814 
4230.000000,0.491933 
4270.000000,0.430129 
4238.000000,0.365217 
4210.000000,0.355551 
4202.000000,0.313277 
4209.000000,0.467742 
4470.000000,0.421561 
4441.000000,0.275914 
4443.000000,0.324614 
2107.000000,0.465085 
2133.000000,0.130337 
2132.000000,0.057075 
2224.000000,0.291000 
3759.000000,0.737068 
3786.000000,0.721810 
9214.000000,0.152344 
9237.000000,0.517639 
9214.000000,0.824132 
3807.000000,0.679504 
3820.000000,0.684423 
3820.000000,0.690694 
3823.000000,0.651692 
4713.000000,0.232586 
1571.000000,0.103691 
4762.000000,0.184957 
1664.000000,0.030346 
1579.000000,0.342590 
1579.000000,0.266134 
4662.000000,0.444798 
1608.000000,0.193437 
1601.000000,0.044044 
4730.000000,0.075329 
1538.000000,0.129511 
4671.000000,0.217368 
4788.000000,0.261407 
3049.000000,0.404602 
4935.000000,0.029983 
4581.000000,0.378762 
2265.000000,0.212533 
4805.000000,0.439150 
4752.000000,0.227615 
4666.000000,0.415178 
1260.000000,0.297263 
4802.000000,0.208262 
4404.000000,0.279188 
4383.000000,0.190230 
4336.000000,0.372559 
4344.000000,0.177611 
4414.000000,0.167753 
4445.000000,0.268479 
4439.000000,0.412372 
4458.000000,0.440933 
1344.000000,0.458252 
1334.000000,0.319959 
1332.000000,0.385750 
1271.000000,0.346591 
4040.000000,0.478167 
4047.000000,0.387549 
240.000000,0.394179 
2589.000000,0.164253 
4536.000000,0.355963 
260.000000,0.247946 
760.000000,0.391143 
777.000000,0.117243 
1300.000000,0.160807 
1304.000000,0.321211 
1279.000000,0.258623 
7349.000000,0.059639 
7338.000000,0.237178 
7555.000000,0.298711 
7520.000000,0.106994 
7555.000000,0.153383 
7501.000000,0.066557 
8758.000000,0.070519 
7420.000000,0.205531 
7425.000000,0.201927 
7420.000000,0.163543 
7370.000000,0.306544 
7370.000000,0.475010 
2613.000000,0.139371 
2589.000000,0.246824 
2533.000000,0.155301 
2636.000000,0.237822 
2436.000000,0.286981 
2483.000000,0.245902 
2520.000000,0.204603 
2598.000000,0.101327 
4539.000000,0.248473 
4505.000000,0.223289 
4507.000000,0.208874 
2555.000000,0.179626 
2587.000000,0.151235 
2464.000000,0.236039 
2479.000000,0.430235 
2620.000000,0.195848 
7520.000000,0.366487 
