point, dist
1304.000000,0.739795 
1301.000000,0.595906 
1412.000000,0.641989 
1411.000000,0.747206 
2554.000000,0.294556 
2823.000000,0.085174 
3892.000000,0.382167 
2678.000000,0.136521 
1865.000000,0.302443 
1865.000000,0.331768 
1942.000000,0.342233 
8984.000000,0.369094 
6686.000000,0.087601 
6681.000000,0.128013 
6686.000000,0.201584 
538.000000,0.225925 
548.000000,0.184856 
622.000000,0.377209 
4374.000000,0.275668 
6593.000000,0.109753 
6586.000000,0.139966 
6582.000000,0.148744 
8876.000000,0.125111 
2153.000000,0.382265 
8870.000000,0.330974 
8864.000000,0.291869 
63.000000,0.309219 
196.000000,0.170951 
18.000000,0.207485 
178.000000,0.286640 
237.000000,0.105589 
238.000000,0.249718 
7616.000000,0.335930 
207.000000,0.227197 
7558.000000,0.299774 
8858.000000,0.142955 
8861.000000,0.174231 
8882.000000,0.116248 
8867.000000,0.194547 
7947.000000,0.149567 
7770.000000,0.333299 
7551.000000,0.250556 
1359.000000,0.958666 
1510.000000,0.693197 
1510.000000,0.674687 
1514.000000,0.697788 
1875.000000,0.411877 
1869.000000,0.365837 
9084.000000,0.300199 
6275.000000,0.209596 
4795.000000,0.397703 
2823.000000,0.364284 
2554.000000,0.159448 
9556.000000,0.165458 
9644.000000,0.113636 
9785.000000,0.262862 
9644.000000,0.261422 
9555.000000,0.303535 
8161.000000,0.132692 
7735.000000,0.190470 
7633.000000,0.212327 
6686.000000,0.373281 
1819.000000,0.335431 
6576.000000,0.235668 
6616.000000,0.282565 
6688.000000,0.166769 
6592.000000,0.064228 
6682.000000,0.256198 
6702.000000,0.292087 
6743.000000,0.176601 
4315.000000,0.339712 
4356.000000,0.308500 
622.000000,0.216265 
5462.000000,0.400592 
1125.000000,0.560399 
5584.000000,0.534856 
5584.000000,0.391087 
9252.000000,0.466050 
1643.000000,0.571004 
1687.000000,0.618938 
7065.000000,0.451631 
7132.000000,0.105293 
7102.000000,0.317759 
7264.000000,0.235272 
1371.000000,0.845005 
1371.000000,0.693161 
1396.000000,0.696000 
1385.000000,0.669403 
1396.000000,0.827345 
82.000000,0.219943 
266.000000,0.253591 
238.000000,0.291592 
4389.000000,0.412030 
4399.000000,0.371058 
430.000000,0.179425 
347.000000,0.183429 
36.000000,0.035381 
300.000000,0.194732 
7634.000000,0.105033 
31.000000,0.261875 
7536.000000,0.198527 
7741.000000,0.421177 
7945.000000,0.240188 
8862.000000,0.307358 
8160.000000,0.303792 
8936.000000,0.288365 
8169.000000,0.269434 
7505.000000,0.252061 
7550.000000,0.233239 
7639.000000,0.257593 
7744.000000,0.143511 
7630.000000,0.019202 
2152.000000,0.307143 
2181.000000,0.289747 
2162.000000,0.275072 
8043.000000,0.266943 
7897.000000,0.160923 
8069.000000,0.162573 
9259.000000,0.443083 
9325.000000,0.441266 
9259.000000,0.301557 
