point, dist
30.000000,0.412292 
394.000000,0.261699 
385.000000,0.343813 
375.000000,0.398229 
1569.000000,0.123145 
1569.000000,0.419991 
44.000000,0.468403 
1992.000000,0.454887 
825.000000,0.177744 
839.000000,0.212484 
821.000000,0.342508 
836.000000,0.410348 
1577.000000,0.308939 
1577.000000,0.339530 
1576.000000,0.451369 
1576.000000,0.282964 
1558.000000,0.324511 
9352.000000,0.452180 
5670.000000,0.401195 
5573.000000,0.486757 
157.000000,0.162253 
158.000000,0.241386 
195.000000,0.183775 
545.000000,0.337355 
552.000000,0.331454 
547.000000,0.210851 
545.000000,0.343232 
1986.000000,0.481187 
1556.000000,0.442047 
1987.000000,0.364580 
1986.000000,0.374372 
1984.000000,0.316976 
1556.000000,0.300019 
8350.000000,0.248024 
4949.000000,0.274884 
4893.000000,0.370120 
8457.000000,0.385302 
4942.000000,0.397547 
4891.000000,0.152837 
9.000000,0.393827 
26.000000,0.419678 
17.000000,0.488003 
3737.000000,0.539144 
3737.000000,0.209825 
3750.000000,0.240382 
3766.000000,0.347122 
2050.000000,0.334726 
1992.000000,0.408246 
833.000000,0.278793 
551.000000,0.283560 
837.000000,0.260713 
562.000000,0.290969 
563.000000,0.322725 
559.000000,0.353978 
574.000000,0.306350 
558.000000,0.239070 
550.000000,0.379876 
9310.000000,0.204638 
9352.000000,0.263264 
31.000000,0.429153 
477.000000,0.320343 
19.000000,0.458483 
755.000000,0.389066 
8540.000000,4.105298 
8535.000000,4.656870 
9124.000000,4.103390 
8167.000000,4.596243 
8074.000000,5.084395 
8383.000000,3.709585 
9078.000000,3.210238 
4502.000000,0.249556 
4313.000000,0.400519 
4381.000000,0.074535 
4308.000000,0.356682 
4308.000000,0.150645 
4303.000000,0.152762 
4411.000000,0.094025 
4308.000000,0.436475 
9652.000000,4.158426 
9652.000000,4.192339 
9605.000000,4.670263 
9504.000000,3.711475 
308.000000,0.318583 
315.000000,0.373109 
822.000000,0.255042 
826.000000,0.291112 
826.000000,0.392923 
3066.000000,0.456353 
5798.000000,0.283442 
5801.000000,0.274058 
5907.000000,0.308033 
5909.000000,0.342771 
5890.000000,0.342069 
4331.000000,0.183672 
5890.000000,0.359167 
3036.000000,3.622014 
3051.000000,2.667088 
3099.000000,4.103628 
4770.000000,0.124914 
7936.000000,0.458073 
7923.000000,0.203504 
4798.000000,0.464523 
4798.000000,0.236467 
4775.000000,0.280283 
4831.000000,0.242843 
8005.000000,0.113277 
8000.000000,0.335206 
1909.000000,0.191931 
1906.000000,0.211269 
1905.000000,0.404094 
1968.000000,0.271054 
1975.000000,0.151800 
2297.000000,2.458225 
2297.000000,2.716231 
2297.000000,2.671305 
5943.000000,0.331826 
6010.000000,0.316610 
5943.000000,0.235486 
4115.000000,0.515752 
5160.000000,0.555992 
5130.000000,0.644035 
4136.000000,0.216787 
818.000000,0.336509 
1223.000000,5.189758 
9120.000000,5.184272 
8543.000000,5.557223 
1223.000000,4.753636 
1.000000,0.487493 
1970.000000,0.138562 
1903.000000,0.343332 
1898.000000,0.551283 
3850.000000,0.285008 
7948.000000,0.211736 
7962.000000,0.392240 
7952.000000,0.426446 
9781.000000,0.315723 
7941.000000,0.436215 
5364.000000,0.730399 
9437.000000,0.377437 
9437.000000,0.085462 
9434.000000,0.423970 
9434.000000,0.492665 
557.000000,0.342841 
575.000000,0.236282 
1993.000000,0.359458 
2039.000000,0.307568 
838.000000,0.305620 
839.000000,0.449981 
833.000000,0.364133 
549.000000,0.393438 
823.000000,0.498911 
852.000000,0.304766 
829.000000,0.357723 
8496.000000,0.483606 
5098.000000,0.624464 
8496.000000,0.553207 
5069.000000,0.426537 
9110.000000,5.070862 
845.000000,0.454724 
850.000000,0.437334 
827.000000,0.472536 
7602.000000,0.160674 
4703.000000,0.209209 
4625.000000,0.075388 
7612.000000,0.404433 
4628.000000,0.293264 
7552.000000,0.343239 
5710.000000,0.541302 
5718.000000,0.311161 
5728.000000,0.500725 
9301.000000,0.161772 
4.000000,0.471668 
11.000000,0.401132 
24.000000,0.420807 
498.000000,0.327441 
498.000000,0.395640 
439.000000,0.308578 
4089.000000,0.163608 
4073.000000,0.444448 
4089.000000,0.330784 
4073.000000,0.041727 
4628.000000,0.379943 
4595.000000,0.177093 
4444.000000,0.053915 
4668.000000,0.201804 
4742.000000,0.291556 
4742.000000,0.186964 
4525.000000,0.183345 
4467.000000,0.068456 
4540.000000,0.173582 
5758.000000,0.232382 
5773.000000,0.284434 
5757.000000,0.388449 
5765.000000,0.368962 
9068.000000,4.187669 
9068.000000,4.679766 
9114.000000,4.591573 
1223.000000,5.707682 
9220.000000,0.402595 
9224.000000,0.085436 
8381.000000,5.071636 
8534.000000,5.076517 
8376.000000,5.616424 
8379.000000,4.587519 
5864.000000,0.128152 
4502.000000,0.237752 
5867.000000,0.122539 
4440.000000,0.291376 
4442.000000,0.248010 
4442.000000,0.422332 
4502.000000,0.460754 
4458.000000,0.380419 
9502.000000,4.588706 
9550.000000,5.078318 
9707.000000,3.723382 
198.000000,1.043397 
202.000000,0.659061 
206.000000,0.675957 
180.000000,1.035373 
209.000000,0.357488 
200.000000,0.327381 
209.000000,0.360109 
202.000000,0.320664 
375.000000,0.398573 
563.000000,0.363573 
825.000000,0.298059 
3086.000000,4.106379 
3038.000000,4.106585 
2079.000000,0.315425 
2079.000000,0.275590 
2071.000000,0.133103 
2117.000000,0.313714 
4918.000000,0.309722 
4918.000000,0.430579 
4908.000000,0.360404 
4915.000000,0.335090 
4921.000000,0.405104 
5962.000000,0.285182 
6112.000000,0.296349 
6382.000000,0.276316 
4806.000000,0.233245 
53.000000,0.534222 
2050.000000,0.259209 
1907.000000,0.240094 
2747.000000,4.112322 
2658.000000,3.647048 
2125.000000,0.589698 
2123.000000,0.659730 
2433.000000,1.590234 
2118.000000,1.055765 
1921.000000,0.320614 
1969.000000,0.331340 
1470.000000,0.205550 
1471.000000,0.617272 
1466.000000,0.289458 
1463.000000,0.268469 
2057.000000,0.212785 
2019.000000,0.091925 
1926.000000,0.160917 
6196.000000,0.106768 
6336.000000,0.182131 
6336.000000,0.422029 
6028.000000,0.169941 
6122.000000,0.270303 
4809.000000,0.296273 
6018.000000,0.355104 
4915.000000,0.355599 
4908.000000,0.521551 
3911.000000,0.223969 
3911.000000,0.534856 
3908.000000,0.560260 
3997.000000,0.547288 
3997.000000,0.340148 
3926.000000,0.396082 
4091.000000,0.054945 
4098.000000,0.299191 
4072.000000,0.381223 
4098.000000,0.202295 
9072.000000,2.170918 
9061.000000,2.779653 
9061.000000,2.177107 
9102.000000,0.988512 
9088.000000,2.064954 
9076.000000,2.789116 
9434.000000,0.876786 
9055.000000,2.665620 
9072.000000,3.222545 
9061.000000,3.630810 
827.000000,0.337909 
821.000000,0.249682 
8462.000000,0.057428 
5031.000000,0.324764 
8459.000000,0.453360 
1023.000000,2.824362 
1023.000000,3.359090 
1023.000000,2.810912 
1223.000000,5.161298 
28.000000,0.481790 
3.000000,0.474216 
25.000000,0.400339 
23.000000,0.453338 
27.000000,0.384003 
31.000000,0.500925 
28.000000,0.498149 
19.000000,0.429498 
29.000000,0.437596 
1.000000,0.418332 
219.000000,0.260696 
241.000000,0.184425 
284.000000,0.365916 
216.000000,0.253256 
228.000000,0.126307 
5698.000000,0.306632 
5619.000000,0.278360 
5643.000000,0.279847 
5663.000000,0.412792 
1904.000000,0.246098 
1967.000000,0.347850 
1974.000000,0.291933 
7941.000000,0.440804 
9781.000000,0.503006 
7947.000000,0.206026 
7947.000000,0.285055 
577.000000,0.425876 
503.000000,0.401711 
513.000000,0.218818 
576.000000,0.227328 
9759.000000,0.275896 
503.000000,0.268500 
581.000000,0.125594 
582.000000,0.328495 
570.000000,0.390809 
1223.000000,4.681624 
8486.000000,0.366465 
5776.000000,0.339087 
5779.000000,0.305870 
9167.000000,0.341385 
9153.000000,0.448939 
5677.000000,0.684632 
5677.000000,0.579386 
6.000000,0.426994 
118.000000,0.348964 
118.000000,0.282301 
122.000000,0.341047 
280.000000,0.243214 
317.000000,0.360341 
322.000000,0.285138 
443.000000,0.385081 
394.000000,0.344919 
15.000000,0.404134 
4115.000000,0.184695 
4136.000000,0.227016 
4132.000000,0.371752 
4072.000000,0.304659 
1447.000000,0.311224 
1461.000000,0.162618 
1450.000000,0.124864 
1457.000000,0.271868 
4669.000000,0.133149 
4565.000000,0.239911 
4536.000000,0.158860 
8121.000000,2.020182 
8013.000000,1.601547 
8077.000000,2.020461 
8187.000000,2.654524 
5839.000000,0.161505 
5892.000000,0.295449 
5888.000000,0.282239 
5879.000000,0.393904 
5844.000000,0.309676 
5836.000000,0.352579 
5883.000000,0.304559 
4496.000000,0.079783 
4488.000000,0.376584 
4479.000000,0.394019 
4394.000000,0.400726 
2076.000000,0.346831 
2420.000000,0.200442 
2076.000000,0.406860 
2110.000000,0.365779 
2070.000000,0.134981 
2434.000000,0.313752 
9087.000000,0.292559 
9087.000000,0.429448 
9060.000000,1.985320 
9107.000000,2.018732 
9064.000000,1.454271 
9118.000000,4.599422 
9167.000000,0.269579 
9162.000000,0.161545 
8381.000000,5.125162 
8166.000000,2.659813 
8381.000000,4.231939 
8379.000000,4.709372 
9112.000000,3.628351 
9108.000000,3.147473 
4442.000000,0.293863 
4497.000000,0.457051 
4475.000000,0.456141 
5906.000000,0.346159 
5810.000000,0.339292 
5794.000000,0.400809 
5798.000000,0.186207 
5883.000000,0.333104 
9053.000000,0.153437 
5869.000000,0.283273 
4367.000000,0.235522 
4332.000000,0.428896 
4497.000000,0.434732 
308.000000,0.367974 
320.000000,0.259040 
212.000000,0.550465 
200.000000,0.557161 
222.000000,0.247267 
282.000000,0.469097 
218.000000,0.178117 
282.000000,0.246482 
9711.000000,0.386060 
9649.000000,0.409729 
9711.000000,0.405219 
9649.000000,0.385459 
6386.000000,0.351579 
9140.000000,0.363185 
8867.000000,0.225205 
8742.000000,0.260701 
9713.000000,0.258889 
9536.000000,0.323068 
9643.000000,0.119258 
9536.000000,0.233140 
7938.000000,2.670304 
7914.000000,2.132676 
7928.000000,2.011542 
7925.000000,2.121564 
7924.000000,1.947920 
9663.000000,1.450271 
9663.000000,1.471927 
9512.000000,1.952278 
9613.000000,1.446470 
9513.000000,1.933156 
9513.000000,1.489042 
9557.000000,1.952464 
8359.000000,0.056366 
8347.000000,0.079578 
8351.000000,0.284105 
8350.000000,0.421664 
8357.000000,0.050760 
4791.000000,0.329229 
7985.000000,0.321535 
7985.000000,0.234262 
8010.000000,0.576566 
4839.000000,0.266374 
7994.000000,0.402433 
9678.000000,0.378580 
6278.000000,0.117327 
208.000000,0.311568 
212.000000,0.408674 
152.000000,0.284581 
192.000000,0.345264 
398.000000,0.446840 
8885.000000,0.310453 
8674.000000,0.333128 
8761.000000,0.225740 
166.000000,0.123753 
120.000000,0.178171 
167.000000,0.234319 
196.000000,0.674544 
350.000000,1.587090 
343.000000,1.586258 
350.000000,1.559480 
154.000000,0.471931 
104.000000,0.317111 
549.000000,0.311735 
1572.000000,0.342840 
823.000000,0.399435 
5341.000000,0.746909 
5312.000000,0.763280 
5357.000000,0.741329 
1907.000000,0.339239 
1901.000000,0.071460 
5889.000000,0.323710 
3045.000000,0.490884 
3076.000000,0.380336 
3067.000000,0.244871 
2700.000000,3.716055 
2629.000000,4.151889 
2700.000000,3.704089 
3033.000000,0.652215 
3048.000000,1.120049 
3040.000000,0.318569 
2741.000000,1.455275 
3040.000000,0.153436 
2649.000000,0.688269 
3244.000000,0.270504 
3219.000000,0.116095 
3051.000000,3.238215 
2736.000000,4.591835 
3086.000000,4.171793 
2030.000000,0.287355 
2081.000000,0.340155 
2043.000000,0.249885 
2051.000000,0.122431 
18.000000,0.426905 
17.000000,0.396076 
702.000000,0.341213 
643.000000,0.206692 
8889.000000,0.274218 
8967.000000,0.517401 
8889.000000,0.538916 
8811.000000,0.374771 
7732.000000,0.309473 
8811.000000,0.136520 
8586.000000,0.246553 
8650.000000,0.198529 
8650.000000,0.395615 
217.000000,0.338857 
246.000000,0.235088 
271.000000,0.371873 
3183.000000,0.226503 
3203.000000,0.227122 
3203.000000,0.429738 
6382.000000,0.213668 
6194.000000,0.225183 
4845.000000,0.341677 
157.000000,0.386455 
6198.000000,0.092828 
6186.000000,0.165724 
6272.000000,0.241899 
6339.000000,0.146909 
6167.000000,0.085730 
1637.000000,0.310529 
1607.000000,0.385490 
1596.000000,0.124223 
1646.000000,0.662845 
1579.000000,0.263233 
1583.000000,0.222285 
1582.000000,0.316132 
1604.000000,0.358327 
1650.000000,0.399972 
1657.000000,0.444505 
1650.000000,0.435448 
1572.000000,0.263534 
1566.000000,0.159874 
52.000000,0.380160 
2297.000000,3.261018 
2287.000000,2.685625 
3138.000000,0.312141 
3134.000000,0.379580 
3237.000000,0.409093 
3325.000000,0.362585 
5697.000000,0.342178 
1967.000000,0.466082 
2312.000000,1.621146 
2749.000000,4.602466 
2036.000000,0.324124 
2082.000000,0.217749 
1920.000000,0.108666 
1483.000000,0.337347 
1923.000000,0.272133 
1465.000000,0.376766 
3705.000000,0.188696 
3656.000000,0.227427 
3672.000000,0.087352 
3732.000000,0.263073 
9611.000000,0.466393 
6196.000000,0.400709 
9622.000000,0.337285 
6196.000000,0.377994 
9517.000000,0.615938 
4781.000000,0.236138 
4797.000000,0.192528 
4804.000000,0.296789 
4797.000000,0.277671 
6010.000000,0.209443 
6006.000000,0.202117 
6089.000000,0.309350 
6060.000000,0.176236 
9614.000000,0.345063 
6006.000000,0.289770 
6014.000000,0.484151 
6109.000000,0.381568 
4794.000000,0.290630 
5190.000000,0.774757 
4013.000000,0.486669 
3997.000000,0.101918 
3926.000000,0.220663 
5221.000000,0.901473 
3908.000000,0.573361 
4090.000000,0.232580 
4083.000000,0.223252 
4090.000000,0.260883 
1509.000000,0.324368 
1521.000000,0.268658 
1505.000000,0.280791 
4013.000000,0.877060 
1472.000000,0.299153 
4093.000000,0.125305 
