point, dist
6529.000000,0.279216 
6536.000000,0.327587 
6520.000000,0.256983 
6998.000000,0.413322 
6998.000000,0.397464 
7021.000000,0.374203 
7002.000000,0.373554 
7393.000000,0.498926 
4026.000000,0.637212 
4026.000000,0.336265 
3948.000000,0.394477 
4161.000000,0.283605 
4128.000000,0.462453 
4164.000000,0.211652 
4163.000000,0.327239 
3952.000000,0.218580 
3949.000000,0.369086 
6741.000000,0.445591 
6757.000000,0.310453 
6757.000000,0.399553 
6751.000000,0.342928 
6378.000000,0.787526 
6378.000000,0.365154 
6384.000000,0.310193 
6384.000000,0.308115 
6378.000000,1.222501 
4408.000000,0.273228 
4408.000000,0.432506 
4408.000000,0.547185 
4404.000000,0.308168 
4173.000000,0.320042 
4158.000000,0.539071 
4174.000000,0.356401 
7255.000000,1.151637 
4024.000000,0.797987 
4026.000000,0.733671 
3951.000000,0.117837 
4061.000000,0.533577 
3995.000000,0.322354 
4167.000000,0.125759 
4173.000000,0.365464 
2291.000000,0.248671 
2291.000000,0.631845 
2167.000000,0.493212 
2197.000000,0.361406 
4846.000000,0.359456 
4855.000000,0.315182 
4855.000000,0.303792 
4835.000000,0.430102 
4844.000000,0.361548 
7191.000000,0.284869 
7190.000000,0.189724 
7185.000000,0.240173 
7200.000000,0.286029 
7241.000000,0.361264 
7231.000000,0.376238 
7241.000000,0.236998 
6364.000000,0.410244 
7194.000000,0.209948 
7191.000000,0.486867 
7194.000000,0.358349 
3962.000000,0.358288 
3960.000000,0.237851 
3960.000000,0.521534 
3960.000000,0.335728 
6412.000000,0.312377 
7306.000000,0.307481 
6426.000000,0.266764 
6751.000000,0.339600 
6751.000000,0.418997 
6740.000000,0.303236 
6693.000000,0.655244 
4711.000000,0.349401 
6678.000000,0.305876 
6693.000000,0.254555 
5479.000000,0.446035 
5481.000000,0.236818 
5510.000000,0.473632 
5507.000000,0.403696 
5348.000000,0.261567 
6350.000000,0.222158 
6350.000000,0.360011 
5348.000000,0.302048 
5366.000000,1.143741 
5374.000000,1.338764 
5366.000000,0.725988 
5366.000000,1.748400 
5365.000000,1.558168 
5365.000000,1.454554 
4301.000000,0.660378 
5366.000000,0.403144 
4301.000000,0.306395 
3950.000000,0.194288 
3982.000000,1.358118 
3975.000000,0.223969 
3973.000000,0.027707 
4172.000000,0.402529 
4168.000000,0.236941 
4172.000000,0.669716 
3973.000000,0.432193 
3973.000000,0.450134 
4026.000000,0.911717 
3956.000000,0.448251 
4061.000000,0.344045 
3953.000000,0.330704 
3959.000000,0.566244 
5681.000000,0.096306 
3953.000000,0.325800 
3953.000000,0.377677 
4158.000000,0.218813 
4166.000000,0.136227 
1483.000000,0.512793 
2108.000000,0.343422 
2183.000000,0.491457 
2245.000000,0.317404 
2259.000000,0.082158 
4165.000000,0.298780 
4163.000000,0.232496 
3711.000000,0.635964 
3144.000000,0.426459 
3144.000000,0.400953 
2197.000000,0.244098 
2048.000000,0.397591 
1554.000000,0.390455 
2048.000000,0.353502 
1479.000000,0.399223 
1511.000000,0.494489 
6710.000000,0.427495 
6722.000000,0.396236 
6732.000000,0.337116 
884.000000,5.346436 
819.000000,5.358665 
884.000000,5.366091 
6784.000000,0.464491 
6782.000000,0.291744 
6784.000000,0.255879 
6769.000000,0.363999 
4837.000000,0.275282 
4840.000000,0.264037 
4833.000000,0.518610 
4706.000000,0.487655 
4709.000000,0.272758 
4712.000000,0.440054 
4712.000000,0.301738 
4707.000000,0.401416 
4817.000000,0.333842 
4702.000000,0.378717 
4816.000000,0.347396 
4814.000000,0.393607 
4706.000000,0.273135 
4820.000000,1.277441 
6571.000000,1.522149 
6585.000000,1.627365 
6536.000000,0.197108 
7191.000000,0.358781 
7201.000000,0.276891 
7177.000000,0.319328 
7199.000000,0.336568 
3966.000000,0.373301 
3964.000000,0.437390 
3967.000000,0.218308 
3967.000000,0.251205 
7183.000000,0.412660 
7182.000000,0.204710 
7193.000000,0.240183 
4154.000000,0.486547 
6507.000000,0.300538 
6484.000000,0.271889 
6509.000000,0.365070 
6506.000000,0.312032 
6505.000000,0.313792 
6506.000000,0.354629 
6374.000000,1.667971 
6374.000000,2.100515 
6374.000000,1.211604 
4162.000000,0.259357 
4156.000000,0.292774 
4156.000000,0.384031 
4156.000000,0.314330 
4171.000000,0.100119 
4155.000000,0.209981 
3648.000000,1.233862 
3648.000000,1.251481 
8130.000000,1.621934 
8130.000000,1.711701 
3230.000000,0.505965 
3251.000000,0.314025 
3581.000000,0.416184 
3371.000000,0.513443 
8130.000000,1.658989 
3646.000000,1.255037 
3337.000000,0.298934 
3337.000000,0.350765 
4406.000000,0.643034 
6922.000000,0.346602 
6938.000000,0.251387 
6938.000000,0.452270 
6784.000000,0.271957 
6678.000000,0.676629 
6678.000000,0.679168 
4695.000000,0.352259 
4699.000000,0.430151 
4699.000000,0.769340 
6691.000000,0.409350 
4694.000000,0.496237 
4697.000000,0.268831 
5479.000000,0.399957 
5478.000000,0.380091 
6707.000000,0.375705 
4782.000000,0.328102 
5472.000000,0.315744 
6933.000000,0.451021 
6453.000000,4.020940 
9839.000000,4.030279 
5722.000000,3.659255 
4276.000000,0.312898 
6353.000000,0.308875 
4289.000000,0.457428 
6005.000000,0.399961 
6010.000000,0.388746 
6016.000000,0.192916 
4280.000000,0.363734 
4277.000000,0.305871 
4280.000000,0.446479 
4276.000000,0.394430 
4276.000000,0.263572 
4285.000000,0.433255 
4288.000000,0.300405 
4277.000000,0.477660 
4287.000000,0.459467 
4287.000000,0.295972 
4293.000000,0.371942 
4288.000000,0.428874 
4282.000000,0.294079 
4293.000000,0.395860 
970.000000,0.646271 
2716.000000,0.359067 
1608.000000,0.531645 
7236.000000,1.329584 
7236.000000,1.100194 
6378.000000,0.351114 
4235.000000,0.477549 
7235.000000,0.210929 
7251.000000,0.356718 
7115.000000,0.265098 
7138.000000,0.173597 
7112.000000,0.383401 
7119.000000,0.290876 
4307.000000,0.750100 
4307.000000,0.640584 
4307.000000,1.147382 
5320.000000,1.338524 
5320.000000,1.903594 
5320.000000,1.721282 
5374.000000,1.480002 
5374.000000,1.895132 
4307.000000,2.018376 
5374.000000,0.489615 
5347.000000,0.887272 
5347.000000,0.947589 
5347.000000,0.547012 
4300.000000,0.531826 
4300.000000,0.357633 
4299.000000,0.373670 
4333.000000,0.216006 
7133.000000,0.316652 
7115.000000,0.564274 
7108.000000,0.227689 
6996.000000,0.446205 
6996.000000,0.192341 
7112.000000,0.300597 
7111.000000,0.386261 
7111.000000,0.352122 
3950.000000,0.269592 
7393.000000,0.464460 
5681.000000,0.512593 
6209.000000,1.240165 
3959.000000,1.020888 
7246.000000,0.151537 
7246.000000,0.452482 
7235.000000,0.372516 
7247.000000,0.374599 
7243.000000,0.167337 
7238.000000,0.176868 
7362.000000,0.316857 
7332.000000,0.353071 
7338.000000,0.275652 
7332.000000,0.370544 
4015.000000,0.696440 
3972.000000,0.107064 
3961.000000,0.297476 
4170.000000,0.215539 
4031.000000,0.844787 
4176.000000,0.382247 
4031.000000,0.722238 
4031.000000,1.355281 
4176.000000,0.513096 
4029.000000,0.327338 
4172.000000,0.192666 
4172.000000,0.757247 
7193.000000,0.404818 
7403.000000,0.438938 
7404.000000,0.285207 
4030.000000,0.513862 
4061.000000,0.452759 
3951.000000,0.361999 
4062.000000,0.451770 
4062.000000,0.648691 
4044.000000,0.472964 
3959.000000,0.130450 
5997.000000,0.988376 
5980.000000,0.892320 
