point, dist
3243.000000,0.194606 
3173.000000,0.240747 
3257.000000,0.243104 
3208.000000,0.218840 
8851.000000,0.104519 
8815.000000,0.215560 
9982.000000,0.103251 
8830.000000,0.220881 
1812.000000,0.222702 
2390.000000,0.130249 
2405.000000,0.178689 
2400.000000,0.078230 
194.000000,0.193426 
3206.000000,0.087891 
3295.000000,0.065550 
3285.000000,0.079836 
3203.000000,0.137113 
8842.000000,0.137563 
8859.000000,0.076815 
2435.000000,0.162128 
2000.000000,0.299476 
1182.000000,0.345106 
1237.000000,0.279996 
1005.000000,0.290789 
3234.000000,0.127532 
3160.000000,0.097194 
3104.000000,0.205629 
3142.000000,0.254532 
733.000000,0.284781 
757.000000,0.274580 
9991.000000,0.158944 
8954.000000,0.327562 
1202.000000,0.308234 
8966.000000,0.296641 
1213.000000,0.341176 
3260.000000,0.150486 
2186.000000,0.178857 
6454.000000,0.035044 
1534.000000,0.220779 
1526.000000,0.303771 
1169.000000,0.273122 
1011.000000,0.411067 
1141.000000,0.253522 
1024.000000,0.358968 
4322.000000,0.141764 
4368.000000,0.278439 
4331.000000,0.209226 
4282.000000,0.334867 
8854.000000,0.114055 
8863.000000,0.099544 
3592.000000,0.028705 
3596.000000,0.088049 
3486.000000,0.059941 
3502.000000,0.178410 
8884.000000,0.253952 
8929.000000,0.141255 
8894.000000,0.237959 
8861.000000,0.148071 
8893.000000,0.250989 
8532.000000,0.240273 
8518.000000,0.237100 
8494.000000,0.106922 
8456.000000,0.217987 
8501.000000,0.119941 
8534.000000,0.244828 
8490.000000,0.097586 
8491.000000,0.134269 
8858.000000,0.112222 
8866.000000,0.097013 
1930.000000,0.191848 
1678.000000,0.093636 
1653.000000,0.101137 
1647.000000,0.112496 
3137.000000,0.049293 
3118.000000,0.096461 
2687.000000,0.155194 
2712.000000,0.050605 
2659.000000,0.082049 
2705.000000,0.204676 
2419.000000,0.170225 
2451.000000,0.111969 
2494.000000,0.201749 
2365.000000,0.238665 
2373.000000,0.227702 
2305.000000,0.114759 
1796.000000,0.170830 
2427.000000,0.112865 
1810.000000,0.237798 
1841.000000,0.119043 
287.000000,0.251083 
4684.000000,0.121778 
4716.000000,0.165212 
4717.000000,0.121772 
4625.000000,0.183320 
4355.000000,0.250132 
4346.000000,0.245643 
8011.000000,0.077597 
4344.000000,0.245979 
5277.000000,0.152275 
5246.000000,0.141200 
5272.000000,0.236683 
199.000000,0.127246 
112.000000,0.169289 
216.000000,0.141159 
121.000000,0.154697 
8261.000000,0.121700 
8296.000000,0.296103 
8260.000000,0.137944 
8275.000000,0.273022 
235.000000,0.205012 
4944.000000,0.114480 
229.000000,0.094401 
148.000000,0.162104 
201.000000,0.117444 
240.000000,0.114551 
195.000000,0.110319 
2401.000000,0.092887 
688.000000,0.263618 
685.000000,0.286991 
774.000000,0.282982 
673.000000,0.235390 
670.000000,0.221663 
8569.000000,0.149743 
8549.000000,0.139439 
8535.000000,0.240083 
2413.000000,0.064864 
8387.000000,0.140356 
8350.000000,0.088841 
8315.000000,0.274318 
8380.000000,0.116894 
8675.000000,0.117198 
8635.000000,0.137897 
8626.000000,0.257807 
8640.000000,0.106409 
8662.000000,0.192919 
8682.000000,0.161854 
8701.000000,0.095982 
8702.000000,0.099623 
8684.000000,0.164163 
9961.000000,0.260542 
8773.000000,0.268771 
9969.000000,0.163178 
8706.000000,0.243590 
1123.000000,0.284723 
1732.000000,0.200804 
1744.000000,0.169657 
5929.000000,0.109778 
1717.000000,0.105235 
1277.000000,0.314330 
3242.000000,0.103060 
1707.000000,0.173740 
3340.000000,0.190637 
544.000000,0.186001 
609.000000,0.128220 
3338.000000,0.223743 
3337.000000,0.173395 
3346.000000,0.193762 
1150.000000,0.338624 
3180.000000,0.285886 
9017.000000,0.461303 
1175.000000,0.428423 
1509.000000,0.381107 
2061.000000,0.410157 
2063.000000,0.311882 
1935.000000,0.261104 
6733.000000,0.105817 
6789.000000,0.151531 
1482.000000,0.231513 
1494.000000,0.247566 
1025.000000,0.353230 
674.000000,0.268308 
781.000000,0.274523 
761.000000,0.275353 
682.000000,0.256983 
8823.000000,0.234738 
8864.000000,0.084084 
8816.000000,0.217261 
8924.000000,0.122282 
9308.000000,0.058489 
9981.000000,0.129577 
9987.000000,0.241410 
8718.000000,0.239252 
9435.000000,0.048041 
8497.000000,0.085346 
8482.000000,0.111834 
3187.000000,0.123169 
3114.000000,0.080059 
3229.000000,0.189434 
3235.000000,0.077894 
3288.000000,0.186603 
1706.000000,0.164082 
228.000000,0.151616 
4938.000000,0.076267 
4947.000000,0.159153 
290.000000,0.189531 
4845.000000,0.257607 
4952.000000,0.138452 
2445.000000,0.169379 
1839.000000,0.239484 
2385.000000,0.309818 
2349.000000,0.342020 
2362.000000,0.136702 
1568.000000,0.216153 
1549.000000,0.122280 
5994.000000,0.110773 
2160.000000,0.296478 
2189.000000,0.257612 
2241.000000,0.224239 
2273.000000,0.236866 
2235.000000,0.130622 
2713.000000,0.229132 
2314.000000,0.189361 
2299.000000,0.110190 
4780.000000,0.134188 
4700.000000,0.093842 
4659.000000,0.097512 
4723.000000,0.184318 
4846.000000,0.218175 
4854.000000,0.266852 
4847.000000,0.202022 
4757.000000,0.265023 
381.000000,0.215622 
337.000000,0.231042 
340.000000,0.217736 
398.000000,0.128130 
329.000000,0.132099 
4581.000000,0.179496 
4600.000000,0.168641 
4511.000000,0.237714 
4477.000000,0.246729 
4463.000000,0.159287 
4452.000000,0.238351 
4548.000000,0.207783 
4537.000000,0.122492 
4502.000000,0.223514 
4424.000000,0.246943 
4380.000000,0.230920 
4256.000000,0.254946 
2180.000000,0.304826 
2129.000000,0.304151 
2080.000000,0.246303 
2149.000000,0.272036 
2115.000000,0.265316 
1200.000000,0.331792 
395.000000,0.287754 
1262.000000,0.314832 
4364.000000,0.236754 
1087.000000,0.345946 
4396.000000,0.269758 
4292.000000,0.288608 
4281.000000,0.489359 
4286.000000,0.358599 
7127.000000,0.043842 
7036.000000,0.054291 
7950.000000,0.145550 
7087.000000,0.083074 
8159.000000,0.104335 
8024.000000,0.088320 
8131.000000,0.102254 
8133.000000,0.049610 
8366.000000,0.158694 
5212.000000,0.169219 
5233.000000,0.101201 
8165.000000,0.049030 
7848.000000,0.142660 
9716.000000,0.104156 
84.000000,0.068025 
2581.000000,0.137127 
160.000000,0.124012 
9479.000000,0.167647 
174.000000,0.121208 
93.000000,0.158526 
152.000000,0.180596 
9533.000000,0.105595 
8319.000000,0.262415 
8274.000000,0.268532 
9544.000000,0.113913 
9740.000000,0.128020 
8308.000000,0.279569 
8266.000000,0.126590 
131.000000,0.168197 
2480.000000,0.164908 
8265.000000,0.166785 
8276.000000,0.273146 
2055.000000,0.253753 
1985.000000,0.273923 
2052.000000,0.351272 
2132.000000,0.319409 
2127.000000,0.250379 
1258.000000,0.268692 
4431.000000,0.265406 
1073.000000,0.270741 
985.000000,0.269746 
2177.000000,0.361675 
2286.000000,0.300062 
2198.000000,0.228353 
2262.000000,0.329414 
6492.000000,0.085762 
6910.000000,0.344830 
2343.000000,0.303350 
2319.000000,0.353521 
712.000000,0.228272 
716.000000,0.238361 
3262.000000,0.187826 
866.000000,0.091432 
911.000000,0.172110 
9930.000000,0.174810 
8405.000000,0.119819 
8415.000000,0.150371 
8393.000000,0.182129 
8391.000000,0.188545 
936.000000,0.087758 
814.000000,0.104645 
8801.000000,0.097008 
8797.000000,0.118340 
1886.000000,0.098896 
1895.000000,0.170264 
1876.000000,0.129072 
1882.000000,0.162635 
1633.000000,0.103125 
9388.000000,0.139454 
9384.000000,0.095335 
9402.000000,0.101375 
8668.000000,0.168504 
9360.000000,0.085199 
8647.000000,0.109239 
9396.000000,0.195185 
9375.000000,0.093035 
1292.000000,0.343875 
3455.000000,0.260634 
1306.000000,0.305840 
1302.000000,0.284713 
1070.000000,0.361042 
1130.000000,0.505047 
1344.000000,0.323400 
1375.000000,0.244194 
1351.000000,0.277145 
8945.000000,0.297165 
8947.000000,0.298608 
3347.000000,0.288646 
3333.000000,0.165315 
3321.000000,0.198005 
1702.000000,0.239103 
632.000000,0.241919 
593.000000,0.184603 
656.000000,0.139943 
569.000000,0.190613 
601.000000,0.216771 
3787.000000,0.130147 
3879.000000,0.233358 
727.000000,0.161985 
3209.000000,0.219693 
3139.000000,0.226370 
4348.000000,0.297655 
4250.000000,0.263923 
1523.000000,0.257989 
2101.000000,0.358706 
1146.000000,0.335871 
9032.000000,0.458829 
1533.000000,0.325417 
1997.000000,0.379238 
2076.000000,0.335084 
1962.000000,0.384957 
2018.000000,0.258462 
1422.000000,0.354369 
4556.000000,0.165808 
4510.000000,0.295189 
1013.000000,0.391615 
1068.000000,0.418583 
8999.000000,0.432048 
759.000000,0.254445 
3690.000000,0.246808 
802.000000,0.415650 
4692.000000,0.184925 
8786.000000,0.125347 
8820.000000,0.222593 
1708.000000,0.278742 
5918.000000,0.081314 
8848.000000,0.155133 
8499.000000,0.118538 
4224.000000,0.357789 
3792.000000,0.282971 
696.000000,0.192815 
726.000000,0.162866 
3779.000000,0.175211 
8761.000000,0.109277 
8737.000000,0.183384 
8770.000000,0.282706 
8759.000000,0.117933 
9184.000000,0.130412 
5432.000000,0.146838 
9178.000000,0.079138 
5548.000000,0.167259 
5568.000000,0.111495 
5543.000000,0.082381 
973.000000,0.188915 
894.000000,0.160347 
953.000000,0.114663 
9220.000000,0.134670 
892.000000,0.138246 
8840.000000,0.109452 
8890.000000,0.253478 
8918.000000,0.133906 
8882.000000,0.242149 
9332.000000,0.141655 
1904.000000,0.124791 
8925.000000,0.128373 
9989.000000,0.265253 
9471.000000,0.072803 
9364.000000,0.119143 
8672.000000,0.139650 
5332.000000,0.114703 
5315.000000,0.127185 
5338.000000,0.125935 
5291.000000,0.094018 
5327.000000,0.262012 
5376.000000,0.279182 
5320.000000,0.310830 
9968.000000,0.227174 
8644.000000,0.100693 
9885.000000,0.099144 
38.000000,0.334951 
9888.000000,0.094166 
9915.000000,0.127186 
6194.000000,0.043113 
6341.000000,0.077468 
6312.000000,0.072307 
6245.000000,0.145940 
1696.000000,0.169587 
3143.000000,0.220107 
3106.000000,0.225354 
3101.000000,0.203076 
752.000000,0.236593 
1917.000000,0.094558 
1560.000000,0.213102 
2335.000000,0.137475 
2248.000000,0.245948 
2252.000000,0.192009 
1579.000000,0.076672 
186.000000,0.200555 
309.000000,0.239396 
2313.000000,0.265890 
342.000000,0.252609 
1819.000000,0.240382 
271.000000,0.279334 
4740.000000,0.067159 
4782.000000,0.242046 
4814.000000,0.236469 
4805.000000,0.271012 
455.000000,0.167184 
333.000000,0.219399 
356.000000,0.164243 
347.000000,0.192550 
2159.000000,0.205372 
2124.000000,0.264390 
4455.000000,0.241991 
4446.000000,0.252633 
4405.000000,0.244372 
4472.000000,0.270322 
