point, dist
9746.000000,0.195332 
9833.000000,0.323526 
3022.000000,0.303280 
3833.000000,0.327030 
4927.000000,0.203068 
4767.000000,0.150044 
4767.000000,0.330523 
4855.000000,0.225162 
4983.000000,0.112686 
9184.000000,0.186189 
9184.000000,0.235740 
9183.000000,0.243538 
9842.000000,0.265932 
8897.000000,0.235412 
1687.000000,0.314448 
8897.000000,0.263945 
2587.000000,0.285145 
8023.000000,0.810137 
639.000000,0.494926 
2618.000000,0.603254 
4989.000000,0.350613 
4989.000000,0.181305 
2620.000000,0.247778 
2657.000000,0.260230 
6.000000,0.268711 
9029.000000,0.239631 
9029.000000,0.134239 
9360.000000,0.260423 
9361.000000,0.246676 
9360.000000,0.199873 
2068.000000,0.452809 
9746.000000,0.295920 
3782.000000,0.189028 
2253.000000,0.314412 
2890.000000,0.387693 
3962.000000,0.615344 
4408.000000,0.648202 
4066.000000,0.655002 
9289.000000,0.174125 
3444.000000,0.361740 
3445.000000,0.070271 
3444.000000,0.235770 
8974.000000,0.342583 
8974.000000,0.204342 
8965.000000,0.255815 
2409.000000,0.225586 
9189.000000,0.313676 
9182.000000,0.099983 
9182.000000,0.211473 
9281.000000,0.226928 
2475.000000,0.290204 
2475.000000,0.369014 
2491.000000,0.426232 
6666.000000,0.364380 
4448.000000,0.145778 
3618.000000,0.328802 
335.000000,0.228745 
374.000000,0.783853 
2517.000000,0.360209 
6782.000000,0.569388 
8759.000000,0.234325 
2647.000000,0.314617 
9853.000000,0.292649 
276.000000,0.245703 
2527.000000,0.280598 
7145.000000,0.207672 
2513.000000,0.224741 
2648.000000,0.308983 
1791.000000,0.368065 
8813.000000,0.285671 
2618.000000,0.293506 
9885.000000,0.266306 
2630.000000,0.232871 
2639.000000,0.287565 
2660.000000,0.311151 
9882.000000,0.152838 
2656.000000,0.269519 
4971.000000,0.123103 
4813.000000,0.088391 
4739.000000,0.175385 
4918.000000,0.226246 
9895.000000,0.273332 
4940.000000,0.274546 
4792.000000,0.367982 
2667.000000,0.308288 
2633.000000,0.262825 
9886.000000,0.269693 
4865.000000,0.269294 
9890.000000,0.288312 
9889.000000,0.254856 
8215.000000,1.155896 
8270.000000,1.167836 
8217.000000,1.114931 
8289.000000,1.117940 
8081.000000,1.089475 
9040.000000,0.248254 
9081.000000,0.183147 
9090.000000,0.336084 
5.000000,0.273552 
5.000000,0.225069 
4914.000000,0.293031 
4738.000000,0.267428 
4914.000000,0.152250 
4830.000000,0.129634 
4880.000000,0.259509 
9019.000000,0.246986 
9090.000000,0.335486 
9401.000000,0.218001 
9403.000000,0.200016 
9408.000000,0.289427 
9408.000000,0.338288 
9360.000000,0.296454 
3776.000000,0.372921 
8887.000000,0.268668 
8949.000000,0.406876 
8666.000000,0.229414 
5413.000000,0.223843 
5030.000000,0.282239 
4780.000000,0.150385 
4849.000000,0.245016 
2358.000000,0.278931 
2339.000000,0.381145 
2339.000000,0.360040 
2079.000000,0.416953 
9751.000000,0.298110 
3937.000000,0.132235 
3788.000000,0.120257 
3906.000000,0.318486 
3836.000000,0.111701 
3994.000000,0.224736 
4033.000000,0.371789 
4170.000000,0.341387 
3622.000000,0.257327 
3626.000000,0.270172 
3626.000000,0.302748 
3481.000000,0.296165 
3708.000000,0.189153 
9776.000000,0.296965 
3967.000000,0.193463 
4333.000000,0.124476 
4008.000000,0.337663 
9198.000000,0.302120 
9192.000000,0.337301 
9197.000000,0.150260 
9223.000000,0.273011 
9223.000000,0.432530 
9189.000000,0.329918 
9243.000000,0.271808 
9225.000000,0.169924 
9201.000000,0.310112 
9200.000000,0.267261 
3769.000000,0.227707 
3767.000000,0.223092 
4142.000000,0.328071 
4315.000000,1.139375 
3528.000000,1.162076 
9756.000000,0.193710 
4172.000000,1.129254 
1179.000000,0.435048 
1560.000000,0.313886 
1564.000000,0.360445 
2410.000000,0.211682 
9788.000000,0.224327 
2405.000000,0.269628 
2406.000000,0.254224 
9180.000000,0.302437 
9229.000000,0.281738 
3986.000000,0.572508 
4372.000000,0.295153 
4013.000000,0.751101 
4334.000000,0.699993 
4230.000000,0.709672 
4258.000000,0.728488 
4031.000000,0.625836 
4013.000000,0.673185 
4357.000000,0.656980 
4418.000000,0.596699 
3987.000000,0.559564 
4051.000000,0.644772 
4357.000000,0.723102 
4417.000000,0.140166 
4068.000000,0.298719 
4190.000000,0.116650 
4215.000000,0.174255 
4401.000000,0.257423 
4259.000000,0.312286 
4460.000000,0.127682 
4215.000000,0.190204 
4122.000000,0.192890 
6347.000000,0.377171 
4335.000000,0.289417 
6376.000000,0.427252 
6321.000000,0.429605 
4122.000000,0.220785 
6723.000000,0.417991 
4116.000000,0.249404 
4335.000000,0.155000 
4038.000000,0.194347 
3032.000000,0.725962 
2962.000000,0.696491 
2930.000000,0.755939 
9826.000000,0.249130 
2709.000000,0.254917 
2770.000000,1.204848 
2709.000000,0.381118 
2709.000000,0.647180 
6291.000000,0.430546 
6389.000000,0.358291 
6291.000000,0.434179 
2475.000000,0.583020 
275.000000,0.275013 
454.000000,0.188949 
275.000000,0.244193 
2595.000000,0.361626 
6626.000000,0.455781 
6630.000000,0.357176 
4188.000000,0.527292 
6667.000000,0.332844 
6626.000000,0.422490 
4106.000000,0.661749 
4345.000000,0.615028 
4423.000000,0.557829 
4106.000000,0.609352 
2610.000000,0.238097 
