point, dist
183.000000,0.070866 
2283.000000,0.118181 
2504.000000,0.094735 
1361.000000,0.283851 
1337.000000,0.292105 
2288.000000,0.253481 
191.000000,0.145806 
1336.000000,0.280865 
5743.000000,0.114960 
5728.000000,0.242000 
5707.000000,0.115700 
1607.000000,0.293619 
2418.000000,0.238197 
2524.000000,0.224905 
5725.000000,0.256434 
1323.000000,0.292768 
1282.000000,0.308922 
1285.000000,0.281989 
2290.000000,0.080434 
2591.000000,0.187400 
2304.000000,0.122540 
2514.000000,0.133278 
2518.000000,0.189952 
5704.000000,0.121271 
5957.000000,0.233520 
5974.000000,0.221611 
5918.000000,0.292462 
5328.000000,0.217863 
5572.000000,0.246124 
5668.000000,0.102507 
5353.000000,0.254990 
5647.000000,0.146527 
5711.000000,0.099920 
5609.000000,0.210101 
6002.000000,0.238487 
6016.000000,0.238327 
5618.000000,0.251705 
5576.000000,0.227289 
5646.000000,0.158022 
1278.000000,0.313604 
8019.000000,0.262207 
2321.000000,0.141323 
4812.000000,0.177169 
5254.000000,0.197934 
4689.000000,0.227300 
6388.000000,0.066528 
6612.000000,0.077415 
6373.000000,0.064962 
6604.000000,0.089284 
5388.000000,0.270573 
8456.000000,0.265488 
5853.000000,0.310635 
5944.000000,0.295604 
2854.000000,0.194339 
2886.000000,0.127211 
2865.000000,0.173797 
2909.000000,0.099214 
1650.000000,0.274506 
2307.000000,0.108790 
1745.000000,0.274752 
1910.000000,0.275795 
2775.000000,0.270505 
888.000000,0.299695 
8897.000000,0.419700 
8900.000000,0.380444 
697.000000,0.240326 
731.000000,0.099856 
1322.000000,0.286412 
1312.000000,0.293778 
696.000000,0.133359 
635.000000,0.133977 
333.000000,0.257294 
5670.000000,0.101146 
5836.000000,0.273088 
5335.000000,0.240338 
8334.000000,0.300472 
8139.000000,0.288763 
5766.000000,0.268877 
5696.000000,0.148808 
5560.000000,0.195494 
6010.000000,0.134174 
5645.000000,0.199495 
5660.000000,0.104991 
5779.000000,0.276921 
1252.000000,0.277113 
2538.000000,0.127084 
2535.000000,0.129394 
1068.000000,0.224978 
2159.000000,0.119123 
1065.000000,0.192874 
9674.000000,0.074928 
6443.000000,0.087949 
6489.000000,0.121732 
6528.000000,0.155641 
6511.000000,0.191201 
6502.000000,0.181753 
6541.000000,0.060794 
5753.000000,0.295699 
7711.000000,0.190094 
7040.000000,0.208476 
3187.000000,0.195460 
7146.000000,0.209803 
5412.000000,0.267738 
8439.000000,0.243374 
1094.000000,0.247381 
9683.000000,0.102935 
2152.000000,0.066786 
2144.000000,0.052856 
1828.000000,0.287959 
1814.000000,0.280032 
1786.000000,0.276998 
141.000000,0.088416 
137.000000,0.179145 
139.000000,0.122509 
9863.000000,0.093473 
150.000000,0.129372 
9858.000000,0.113980 
9457.000000,0.366345 
9459.000000,0.375184 
9031.000000,0.335367 
6171.000000,0.265534 
9433.000000,0.375217 
5868.000000,0.303066 
5688.000000,0.248421 
9352.000000,0.325559 
9381.000000,0.340931 
9305.000000,0.333523 
9289.000000,0.346328 
5700.000000,0.252246 
5712.000000,0.142077 
5692.000000,0.120789 
5939.000000,0.286323 
6626.000000,0.246051 
6457.000000,0.116009 
6590.000000,0.127533 
6420.000000,0.103973 
1989.000000,0.273926 
1398.000000,0.284214 
1403.000000,0.282101 
9982.000000,0.125037 
9978.000000,0.088985 
9955.000000,0.121046 
2181.000000,0.087175 
2314.000000,0.117786 
2530.000000,0.146913 
2182.000000,0.108784 
2065.000000,0.295924 
2318.000000,0.147509 
2534.000000,0.171587 
2038.000000,0.308394 
2187.000000,0.063117 
2324.000000,0.089908 
2175.000000,0.084683 
1879.000000,0.284996 
1877.000000,0.285877 
1502.000000,0.278862 
1860.000000,0.283973 
116.000000,0.169359 
121.000000,0.158880 
50.000000,0.102019 
55.000000,0.116900 
1363.000000,0.277626 
2052.000000,0.275193 
34.000000,0.111467 
1364.000000,0.283082 
9972.000000,0.095939 
29.000000,0.095245 
1586.000000,0.292845 
2508.000000,0.213772 
999.000000,0.289872 
2098.000000,0.113665 
2100.000000,0.102826 
6357.000000,0.239107 
1703.000000,0.283294 
2496.000000,0.118584 
2272.000000,0.111894 
6326.000000,0.243112 
6139.000000,0.269541 
6101.000000,0.286188 
6288.000000,0.253475 
6348.000000,0.235263 
9080.000000,0.367300 
9154.000000,0.338671 
9127.000000,0.325326 
9010.000000,0.371452 
4296.000000,0.216542 
707.000000,0.249066 
1011.000000,0.297205 
657.000000,0.239454 
283.000000,0.231984 
239.000000,0.201801 
515.000000,0.212375 
2102.000000,0.063610 
2593.000000,0.119767 
1614.000000,0.273887 
92.000000,0.172535 
78.000000,0.105074 
9931.000000,0.133701 
1646.000000,0.280362 
1654.000000,0.291010 
1734.000000,0.282411 
2308.000000,0.276105 
85.000000,0.146930 
70.000000,0.144349 
1377.000000,0.274297 
2023.000000,0.294988 
2541.000000,0.105714 
2542.000000,0.099309 
2174.000000,0.048531 
2539.000000,0.083778 
2540.000000,0.164777 
658.000000,0.239792 
932.000000,0.282173 
906.000000,0.285195 
