point, dist
651.000000,0.089598 
563.000000,0.201048 
592.000000,0.204356 
2678.000000,0.177677 
2672.000000,0.183248 
2778.000000,0.168453 
804.000000,0.307804 
812.000000,0.302556 
734.000000,0.130793 
673.000000,0.185632 
657.000000,0.206241 
8509.000000,0.376001 
2708.000000,0.300828 
2821.000000,0.332247 
816.000000,0.309220 
6130.000000,0.152255 
6172.000000,0.174529 
6127.000000,0.104833 
5495.000000,0.120019 
5234.000000,0.182909 
5473.000000,0.112930 
1313.000000,0.299306 
2353.000000,0.179361 
2355.000000,0.127185 
2173.000000,0.264762 
2369.000000,0.218875 
1386.000000,0.327170 
2170.000000,0.133436 
2367.000000,0.297331 
2364.000000,0.237501 
1749.000000,0.260444 
2138.000000,0.172253 
2143.000000,0.148612 
1234.000000,0.264934 
1251.000000,0.257609 
2358.000000,0.147856 
1336.000000,0.307578 
1376.000000,0.278773 
9861.000000,0.022138 
9826.000000,0.085665 
9756.000000,0.140394 
9808.000000,0.066221 
9881.000000,0.070358 
9679.000000,0.073179 
9695.000000,0.068791 
9855.000000,0.098809 
2166.000000,0.204363 
2365.000000,0.099388 
2180.000000,0.165848 
1487.000000,0.263434 
2176.000000,0.191047 
8520.000000,0.376987 
317.000000,0.232916 
340.000000,0.235515 
9795.000000,0.157065 
9867.000000,0.423094 
9842.000000,0.127890 
9868.000000,0.385429 
9868.000000,0.384769 
9810.000000,0.140187 
9810.000000,0.185919 
9832.000000,0.170694 
9714.000000,0.085896 
9730.000000,0.082962 
9681.000000,0.043055 
9807.000000,0.108772 
966.000000,0.223033 
995.000000,0.087772 
1113.000000,0.271607 
2118.000000,0.163259 
1115.000000,0.258565 
1813.000000,0.259293 
2147.000000,0.102448 
2336.000000,0.193893 
847.000000,0.286288 
574.000000,0.183560 
853.000000,0.307632 
5221.000000,0.112478 
1269.000000,0.296322 
1824.000000,0.259018 
745.000000,0.189836 
945.000000,0.352471 
943.000000,0.304569 
661.000000,0.186102 
1373.000000,0.257952 
1421.000000,0.254527 
1754.000000,0.264006 
38.000000,0.188228 
1730.000000,0.253722 
9757.000000,0.137554 
9692.000000,0.079862 
9826.000000,0.436039 
9861.000000,0.404978 
9861.000000,0.150712 
9856.000000,0.123629 
9818.000000,0.080870 
