point, dist
2772.000000,0.184736 
2875.000000,0.059344 
50.000000,0.144136 
3852.000000,0.080009 
9324.000000,0.035632 
2776.000000,0.143288 
3355.000000,0.091170 
3358.000000,0.075986 
1845.000000,0.263795 
831.000000,0.123985 
548.000000,0.098607 
823.000000,0.145382 
8014.000000,0.239462 
2820.000000,0.075073 
9301.000000,0.069116 
1849.000000,0.266269 
2812.000000,0.197512 
2872.000000,0.087006 
1661.000000,0.264377 
3267.000000,0.062956 
1969.000000,0.264076 
2868.000000,0.044229 
3252.000000,0.060257 
2865.000000,0.057910 
1802.000000,0.277036 
3526.000000,0.067639 
1914.000000,0.268217 
9869.000000,0.228278 
3262.000000,0.303836 
2748.000000,0.267494 
1536.000000,0.296559 
2109.000000,0.273080 
2144.000000,0.273047 
2176.000000,0.270774 
2051.000000,0.276558 
2142.000000,0.270664 
2197.000000,0.264515 
3808.000000,0.074333 
3871.000000,0.023331 
3994.000000,0.072544 
1735.000000,0.266113 
258.000000,0.045113 
3263.000000,0.039159 
3258.000000,0.014488 
3258.000000,0.275574 
4523.000000,0.209512 
3318.000000,0.057914 
2737.000000,0.059573 
1436.000000,0.299062 
1345.000000,0.261948 
305.000000,0.228817 
1513.000000,0.268310 
1526.000000,0.272193 
9421.000000,0.187773 
7634.000000,0.173937 
7676.000000,0.157891 
3861.000000,0.084585 
3860.000000,0.042588 
3284.000000,0.051805 
3310.000000,0.051057 
9847.000000,0.200661 
1532.000000,0.281340 
2874.000000,0.073135 
1575.000000,0.269485 
6255.000000,0.078022 
9066.000000,0.043874 
1090.000000,0.143466 
1113.000000,0.063294 
3289.000000,0.076788 
392.000000,0.126778 
9023.000000,0.069309 
2754.000000,0.188576 
356.000000,0.095357 
7969.000000,0.225109 
3758.000000,0.082986 
3783.000000,0.067106 
3710.000000,0.069681 
3702.000000,0.037602 
2045.000000,0.266233 
2123.000000,0.282216 
285.000000,0.201995 
265.000000,0.035782 
9699.000000,0.232479 
1803.000000,0.268144 
1402.000000,0.264903 
2378.000000,0.264007 
9143.000000,0.068111 
4070.000000,0.160560 
3901.000000,0.158778 
6810.000000,0.211352 
4098.000000,0.158669 
9287.000000,0.160016 
3253.000000,0.056478 
1840.000000,0.263756 
1939.000000,0.275843 
2762.000000,0.137295 
4398.000000,0.211704 
5262.000000,0.215570 
4322.000000,0.205449 
1397.000000,0.269343 
1332.000000,0.274146 
2803.000000,0.133449 
2784.000000,0.139113 
2806.000000,0.255468 
